"0#0","Pos.","Player","Date of birth (age)","Caps","Goals","Club","player_url","name","club_name","club_name_detailed","club_url","country","wikidata_item"
9,"4FW","Stanislav Šesták","(1982-12-16)16 December 1982 (aged 33)",65,13,"Ferencváros","https://en.wikipedia.org/wiki/Stanislav_%C5%A0est%C3%A1k","Stanislav Šesták","Ferencváros","Ferencvárosi TC","https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC","Slovakia","https://www.wikidata.org/wiki/Q315327"
10,"3MF","Miroslav Stoch","(1989-10-19)19 October 1989 (aged 26)",54,6,"Bursaspor","https://en.wikipedia.org/wiki/Miroslav_Stoch","Miroslav Stoch","Bursaspor","Bursaspor","https://en.wikipedia.org/wiki/Bursaspor","Slovakia","https://www.wikidata.org/wiki/Q299515"
11,"4FW","Adam Nemec","(1985-09-02)2 September 1985 (aged 30)",22,6,"Willem II","https://en.wikipedia.org/wiki/Adam_Nemec","Adam Nemec","Willem II","Willem II (football club)","https://en.wikipedia.org/wiki/Willem_II_(football_club)","Slovakia","https://www.wikidata.org/wiki/Q350516"
12,"1GK","Ján Novota","(1983-11-29)29 November 1983 (aged 32)",3,0,"Rapid Wien","https://en.wikipedia.org/wiki/J%C3%A1n_Novota","Ján Novota","Rapid Wien","SK Rapid Wien","https://en.wikipedia.org/wiki/SK_Rapid_Wien","Slovakia","https://www.wikidata.org/wiki/Q767324"
13,"3MF","Patrik Hrošovský","(1992-04-22)22 April 1992 (aged 24)",12,0,"Viktoria Plzeň","https://en.wikipedia.org/wiki/Patrik_Hro%C5%A1ovsk%C3%BD","Patrik Hrošovský","Viktoria Plzeň","FC Viktoria Plzeň","https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88","Slovakia","https://www.wikidata.org/wiki/Q7147912"
14,"2DF","Milan Škriniar","(1995-02-11)11 February 1995 (aged 21)",2,0,"Sampdoria","https://en.wikipedia.org/wiki/Milan_%C5%A0kriniar","Milan Škriniar","Sampdoria","U.C. Sampdoria","https://en.wikipedia.org/wiki/U.C._Sampdoria","Slovakia","https://www.wikidata.org/wiki/Q891520"
15,"2DF","Tomáš Hubočan","(1985-09-17)17 September 1985 (aged 30)",44,0,"Dynamo Moscow","https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Hubo%C4%8Dan","Tomáš Hubočan","Dynamo Moscow","FC Dynamo Moscow","https://en.wikipedia.org/wiki/FC_Dynamo_Moscow","Slovakia","https://www.wikidata.org/wiki/Q603051"
16,"2DF","Kornel Saláta","(1985-01-24)24 January 1985 (aged 31)",37,2,"Slovan Bratislava","https://en.wikipedia.org/wiki/Kornel_Sal%C3%A1ta","Kornel Saláta","Slovan Bratislava","ŠK Slovan Bratislava","https://en.wikipedia.org/wiki/%C5%A0K_Slovan_Bratislava","Slovakia","https://www.wikidata.org/wiki/Q247780"
17,"3MF","Marek Hamšík","(1987-07-27)27 July 1987 (aged 28)",87,18,"Napoli","https://en.wikipedia.org/wiki/Marek_Ham%C5%A1%C3%ADk","Marek Hamšík","Napoli","S.S.C. Napoli","https://en.wikipedia.org/wiki/S.S.C._Napoli","Slovakia","https://www.wikidata.org/wiki/Q201825"
18,"2DF","Dušan Švento","(1985-08-01)1 August 1985 (aged 30)",39,1,"1. FC Köln","https://en.wikipedia.org/wiki/Du%C5%A1an_%C5%A0vento","Dušan Švento","1. FC Köln","1. FC Köln","https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln","Slovakia","https://www.wikidata.org/wiki/Q650363"
19,"3MF","Juraj Kucka","(1987-02-26)26 February 1987 (aged 29)",47,5,"Milan","https://en.wikipedia.org/wiki/Juraj_Kucka","Juraj Kucka","Milan","A.C. Milan","https://en.wikipedia.org/wiki/A.C._Milan","Slovakia","https://www.wikidata.org/wiki/Q314093"
20,"3MF","Róbert Mak","(1991-03-08)8 March 1991 (aged 25)",27,7,"PAOK","https://en.wikipedia.org/wiki/R%C3%B3bert_Mak","Róbert Mak","PAOK","PAOK FC","https://en.wikipedia.org/wiki/PAOK_FC","Slovakia","https://www.wikidata.org/wiki/Q59786"
21,"4FW","Michal Ďuriš","(1988-06-01)1 June 1988 (aged 28)",26,4,"Viktoria Plzeň","https://en.wikipedia.org/wiki/Michal_%C4%8Euri%C5%A1","Michal Ďuriš","Viktoria Plzeň","FC Viktoria Plzeň","https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88","Slovakia","https://www.wikidata.org/wiki/Q2501422"
22,"3MF","Viktor Pečovský","(1983-05-24)24 May 1983 (aged 33)",32,1,"Žilina","https://en.wikipedia.org/wiki/Viktor_Pe%C4%8Dovsk%C3%BD","Viktor Pečovský","Žilina","MŠK Žilina","https://en.wikipedia.org/wiki/M%C5%A0K_%C5%BDilina","Slovakia","https://www.wikidata.org/wiki/Q1324781"
23,"1GK","Matúš Kozáčik","(1983-12-27)27 December 1983 (aged 32)",17,0,"Viktoria Plzeň","https://en.wikipedia.org/wiki/Mat%C3%BA%C5%A1_Koz%C3%A1%C4%8Dik","Matúš Kozáčik","Viktoria Plzeň","FC Viktoria Plzeň","https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88","Slovakia","https://www.wikidata.org/wiki/Q1383333"
1,"1GK","Manuel Neuer","(1986-03-27)27 March 1986 (aged 30)",65,0,"Bayern Munich","https://en.wikipedia.org/wiki/Manuel_Neuer","Manuel Neuer","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Germany","https://www.wikidata.org/wiki/Q107365"
2,"2DF","Shkodran Mustafi","(1992-04-17)17 April 1992 (aged 24)",10,0,"Valencia","https://en.wikipedia.org/wiki/Shkodran_Mustafi","Shkodran Mustafi","Valencia","Valencia CF","https://en.wikipedia.org/wiki/Valencia_CF","Germany","https://www.wikidata.org/wiki/Q694014"
3,"2DF","Jonas Hector","(1990-05-27)27 May 1990 (aged 26)",14,1,"1. FC Köln","https://en.wikipedia.org/wiki/Jonas_Hector","Jonas Hector","1. FC Köln","1. FC Köln","https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln","Germany","https://www.wikidata.org/wiki/Q994561"
4,"2DF","Benedikt Höwedes","(1988-02-29)29 February 1988 (aged 28)",34,2,"Schalke 04","https://en.wikipedia.org/wiki/Benedikt_H%C3%B6wedes","Benedikt Höwedes","Schalke 04","FC Schalke 04","https://en.wikipedia.org/wiki/FC_Schalke_04","Germany","https://www.wikidata.org/wiki/Q152897"
5,"2DF","Mats Hummels","(1988-12-16)16 December 1988 (aged 27)",46,4,"Borussia Dortmund","https://en.wikipedia.org/wiki/Mats_Hummels","Mats Hummels","Borussia Dortmund","Borussia Dortmund","https://en.wikipedia.org/wiki/Borussia_Dortmund","Germany","https://www.wikidata.org/wiki/Q110053"
6,"3MF","Sami Khedira","(1987-04-04)4 April 1987 (aged 29)",60,5,"Juventus","https://en.wikipedia.org/wiki/Sami_Khedira","Sami Khedira","Juventus","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","Germany","https://www.wikidata.org/wiki/Q54094"
7,"3MF","Bastian Schweinsteiger (captain)","(1984-08-01)1 August 1984 (aged 31)",115,23,"Manchester United","https://en.wikipedia.org/wiki/Bastian_Schweinsteiger","Bastian Schweinsteiger","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","Germany","https://www.wikidata.org/wiki/Q44298"
8,"3MF","Mesut Özil","(1988-10-15)15 October 1988 (aged 27)",73,19,"Arsenal","https://en.wikipedia.org/wiki/Mesut_%C3%96zil","Mesut Özil","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","Germany","https://www.wikidata.org/wiki/Q83488"
9,"3MF","André Schürrle","(1990-11-06)6 November 1990 (aged 25)",52,20,"VfL Wolfsburg","https://en.wikipedia.org/wiki/Andr%C3%A9_Sch%C3%BCrrle","André Schürrle","VfL Wolfsburg","VfL Wolfsburg","https://en.wikipedia.org/wiki/VfL_Wolfsburg","Germany","https://www.wikidata.org/wiki/Q58377"
10,"4FW","Lukas Podolski","(1985-06-04)4 June 1985 (aged 31)",128,48,"Galatasaray","https://en.wikipedia.org/wiki/Lukas_Podolski","Lukas Podolski","Galatasaray","Galatasaray S.K. (football)","https://en.wikipedia.org/wiki/Galatasaray_S.K._(football)","Germany","https://www.wikidata.org/wiki/Q134976"
11,"3MF","Julian Draxler","(1993-09-20)20 September 1993 (aged 22)",19,1,"VfL Wolfsburg","https://en.wikipedia.org/wiki/Julian_Draxler","Julian Draxler","VfL Wolfsburg","VfL Wolfsburg","https://en.wikipedia.org/wiki/VfL_Wolfsburg","Germany","https://www.wikidata.org/wiki/Q315697"
12,"1GK","Bernd Leno","(1992-03-04)4 March 1992 (aged 24)",1,0,"Bayer Leverkusen","https://en.wikipedia.org/wiki/Bernd_Leno","Bernd Leno","Bayer Leverkusen","Bayer 04 Leverkusen","https://en.wikipedia.org/wiki/Bayer_04_Leverkusen","Germany","https://www.wikidata.org/wiki/Q309966"
13,"4FW","Thomas Müller","(1989-09-13)13 September 1989 (aged 26)",71,32,"Bayern Munich","https://en.wikipedia.org/wiki/Thomas_M%C3%BCller","Thomas Müller","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Germany","https://www.wikidata.org/wiki/Q43666"
14,"3MF","Emre Can","(1994-01-12)12 January 1994 (aged 22)",6,0,"Liverpool","https://en.wikipedia.org/wiki/Emre_Can","Emre Can","Liverpool","Liverpool F.C.","https://en.wikipedia.org/wiki/Liverpool_F.C.","Germany","https://www.wikidata.org/wiki/Q27694"
15,"3MF","Julian Weigl","(1995-09-08)8 September 1995 (aged 20)",1,0,"Borussia Dortmund","https://en.wikipedia.org/wiki/Julian_Weigl","Julian Weigl","Borussia Dortmund","Borussia Dortmund","https://en.wikipedia.org/wiki/Borussia_Dortmund","Germany","https://www.wikidata.org/wiki/Q15844698"
16,"2DF","Jonathan Tah","(1996-02-11)11 February 1996 (aged 20)",1,0,"Bayer Leverkusen","https://en.wikipedia.org/wiki/Jonathan_Tah","Jonathan Tah","Bayer Leverkusen","Bayer 04 Leverkusen","https://en.wikipedia.org/wiki/Bayer_04_Leverkusen","Germany","https://www.wikidata.org/wiki/Q14640027"
17,"2DF","Jérôme Boateng","(1988-09-03)3 September 1988 (aged 27)",59,0,"Bayern Munich","https://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Boateng","Jérôme Boateng","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Germany","https://www.wikidata.org/wiki/Q151260"
18,"3MF","Toni Kroos","(1990-01-04)4 January 1990 (aged 26)",65,11,"Real Madrid","https://en.wikipedia.org/wiki/Toni_Kroos","Toni Kroos","Real Madrid","Real Madrid C.F.","https://en.wikipedia.org/wiki/Real_Madrid_C.F.","Germany","https://www.wikidata.org/wiki/Q131234"
19,"3MF","Mario Götze","(1992-06-03)3 June 1992 (aged 24)",52,17,"Bayern Munich","https://en.wikipedia.org/wiki/Mario_G%C3%B6tze","Mario Götze","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Germany","https://www.wikidata.org/wiki/Q104454"
20,"3MF","Leroy Sané","(1996-01-11)11 January 1996 (aged 20)",3,0,"Schalke 04","https://en.wikipedia.org/wiki/Leroy_San%C3%A9","Leroy Sané","Schalke 04","FC Schalke 04","https://en.wikipedia.org/wiki/FC_Schalke_04","Germany","https://www.wikidata.org/wiki/Q16499882"
21,"2DF","Joshua Kimmich","(1995-02-08)8 February 1995 (aged 21)",1,0,"Bayern Munich","https://en.wikipedia.org/wiki/Joshua_Kimmich","Joshua Kimmich","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Germany","https://www.wikidata.org/wiki/Q13865408"
22,"1GK","Marc-André ter Stegen","(1992-04-30)30 April 1992 (aged 24)",6,0,"Barcelona","https://en.wikipedia.org/wiki/Marc-Andr%C3%A9_ter_Stegen","Marc-André ter Stegen","Barcelona","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona","Germany","https://www.wikidata.org/wiki/Q160472"
23,"4FW","Mario Gómez","(1985-07-10)10 July 1985 (aged 30)",64,27,"Beşiktaş","https://en.wikipedia.org/wiki/Mario_G%C3%B3mez","Mario Gómez","Beşiktaş","Beşiktaş J.K.","https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.","Germany","https://www.wikidata.org/wiki/Q45766"
1,"1GK","Denys Boyko","(1988-01-29)29 January 1988 (aged 28)",4,0,"Beşiktaş","https://en.wikipedia.org/wiki/Denys_Boyko","Denys Boyko","Beşiktaş","Beşiktaş J.K","https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K","Ukraine","https://www.wikidata.org/wiki/Q2425800"
2,"2DF","Bohdan Butko","(1991-01-13)13 January 1991 (aged 25)",17,0,"Amkar Perm","https://en.wikipedia.org/wiki/Bohdan_Butko","Bohdan Butko","Amkar Perm","FC Amkar Perm","https://en.wikipedia.org/wiki/FC_Amkar_Perm","Ukraine","https://www.wikidata.org/wiki/Q508512"
3,"2DF","Yevhen Khacheridi","(1987-07-28)28 July 1987 (aged 28)",42,3,"Dynamo Kyiv","https://en.wikipedia.org/wiki/Yevhen_Khacheridi","Yevhen Khacheridi","Dynamo Kyiv","FC Dynamo Kyiv","https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv","Ukraine","https://www.wikidata.org/wiki/Q314391"
4,"3MF","Anatoliy Tymoshchuk (captain)","(1979-03-30)30 March 1979 (aged 37)",143,4,"Kairat Almaty","https://en.wikipedia.org/wiki/Anatoliy_Tymoshchuk","Anatoliy Tymoshchuk","Kairat Almaty","FC Kairat","https://en.wikipedia.org/wiki/FC_Kairat","Ukraine","https://www.wikidata.org/wiki/Q44181"
5,"2DF","Oleksandr Kucher","(1982-10-22)22 October 1982 (aged 33)",50,2,"Shakhtar Donetsk","https://en.wikipedia.org/wiki/Oleksandr_Kucher","Oleksandr Kucher","Shakhtar Donetsk","FC Shakhtar Donetsk","https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk","Ukraine","https://www.wikidata.org/wiki/Q355816"
6,"3MF","Taras Stepanenko","(1989-08-08)8 August 1989 (aged 26)",29,3,"Shakhtar Donetsk","https://en.wikipedia.org/wiki/Taras_Stepanenko","Taras Stepanenko","Shakhtar Donetsk","FC Shakhtar Donetsk","https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk","Ukraine","https://www.wikidata.org/wiki/Q963580"
7,"3MF","Andriy Yarmolenko","(1989-10-23)23 October 1989 (aged 26)",59,25,"Dynamo Kyiv","https://en.wikipedia.org/wiki/Andriy_Yarmolenko","Andriy Yarmolenko","Dynamo Kyiv","FC Dynamo Kyiv","https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv","Ukraine","https://www.wikidata.org/wiki/Q310328"
8,"4FW","Roman Zozulya","(1989-11-17)17 November 1989 (aged 26)",26,4,"Dnipro Dnipropetrovsk","https://en.wikipedia.org/wiki/Roman_Zozulya_(footballer)","Roman Zozulya (footballer)","Dnipro Dnipropetrovsk","FC Dnipro Dnipropetrovsk","https://en.wikipedia.org/wiki/FC_Dnipro_Dnipropetrovsk","Ukraine","https://www.wikidata.org/wiki/Q926533"
9,"3MF","Viktor Kovalenko","(1996-02-14)14 February 1996 (aged 20)",3,0,"Shakhtar Donetsk","https://en.wikipedia.org/wiki/Viktor_Kovalenko_(footballer)","Viktor Kovalenko (footballer)","Shakhtar Donetsk","FC Shakhtar Donetsk","https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk","Ukraine","https://www.wikidata.org/wiki/Q19060781"
10,"3MF","Yevhen Konoplyanka","(1989-09-29)29 September 1989 (aged 26)",53,13,"Sevilla","https://en.wikipedia.org/wiki/Yevhen_Konoplyanka","Yevhen Konoplyanka","Sevilla","Sevilla FC","https://en.wikipedia.org/wiki/Sevilla_FC","Ukraine","https://www.wikidata.org/wiki/Q284078"
11,"4FW","Yevhen Seleznyov","(1985-07-20)20 July 1985 (aged 30)",50,11,"Kuban Krasnodar","https://en.wikipedia.org/wiki/Yevhen_Seleznyov","Yevhen Seleznyov","Kuban Krasnodar","FC Kuban Krasnodar","https://en.wikipedia.org/wiki/FC_Kuban_Krasnodar","Ukraine","https://www.wikidata.org/wiki/Q348801"
12,"1GK","Andriy Pyatov","(1984-06-28)28 June 1984 (aged 31)",64,0,"Shakhtar Donetsk","https://en.wikipedia.org/wiki/Andriy_Pyatov","Andriy Pyatov","Shakhtar Donetsk","FC Shakhtar Donetsk","https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk","Ukraine","https://www.wikidata.org/wiki/Q215297"
13,"2DF","Vyacheslav Shevchuk","(1979-05-13)13 May 1979 (aged 37)",54,0,"Shakhtar Donetsk","https://en.wikipedia.org/wiki/Vyacheslav_Shevchuk","Vyacheslav Shevchuk","Shakhtar Donetsk","FC Shakhtar Donetsk","https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk","Ukraine","https://www.wikidata.org/wiki/Q502891"
14,"3MF","Ruslan Rotan","(1981-10-29)29 October 1981 (aged 34)",88,7,"Dnipro Dnipropetrovsk","https://en.wikipedia.org/wiki/Ruslan_Rotan","Ruslan Rotan","Dnipro Dnipropetrovsk","FC Dnipro Dnipropetrovsk","https://en.wikipedia.org/wiki/FC_Dnipro_Dnipropetrovsk","Ukraine","https://www.wikidata.org/wiki/Q296986"
15,"4FW","Pylyp Budkivskyi","(1992-03-10)10 March 1992 (aged 24)",6,0,"Zorya Luhansk","https://en.wikipedia.org/wiki/Pylyp_Budkivskyi","Pylyp Budkivskyi","Zorya Luhansk","FC Zorya Luhansk","https://en.wikipedia.org/wiki/FC_Zorya_Luhansk","Ukraine","https://www.wikidata.org/wiki/Q2598340"
16,"3MF","Serhiy Sydorchuk","(1991-05-02)2 May 1991 (aged 25)",12,2,"Dynamo Kyiv","https://en.wikipedia.org/wiki/Serhiy_Sydorchuk","Serhiy Sydorchuk","Dynamo Kyiv","FC Dynamo Kyiv","https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv","Ukraine","https://www.wikidata.org/wiki/Q1442391"
17,"2DF","Artem Fedetskyi","(1985-04-26)26 April 1985 (aged 31)",49,2,"Dnipro Dnipropetrovsk","https://en.wikipedia.org/wiki/Artem_Fedetskyi","Artem Fedetskyi","Dnipro Dnipropetrovsk","FC Dnipro Dnipropetrovsk","https://en.wikipedia.org/wiki/FC_Dnipro_Dnipropetrovsk","Ukraine","https://www.wikidata.org/wiki/Q2531481"
18,"3MF","Serhiy Rybalka","(1990-04-01)1 April 1990 (aged 26)",9,0,"Dynamo Kyiv","https://en.wikipedia.org/wiki/Serhiy_Rybalka","Serhiy Rybalka","Dynamo Kyiv","FC Dynamo Kyiv","https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv","Ukraine","https://www.wikidata.org/wiki/Q2485012"
19,"3MF","Denys Harmash","(1990-04-19)19 April 1990 (aged 26)",27,2,"Dynamo Kyiv","https://en.wikipedia.org/wiki/Denys_Harmash","Denys Harmash","Dynamo Kyiv","FC Dynamo Kyiv","https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv","Ukraine","https://www.wikidata.org/wiki/Q348432"
20,"2DF","Yaroslav Rakitskiy","(1989-08-03)3 August 1989 (aged 26)",40,4,"Shakhtar Donetsk","https://en.wikipedia.org/wiki/Yaroslav_Rakitskiy","Yaroslav Rakitskiy","Shakhtar Donetsk","FC Shakhtar Donetsk","https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk","Ukraine","https://www.wikidata.org/wiki/Q328882"
21,"3MF","Oleksandr Zinchenko","(1996-12-15)15 December 1996 (aged 19)",3,1,"Ufa","https://en.wikipedia.org/wiki/Oleksandr_Zinchenko_(footballer)","Oleksandr Zinchenko (footballer)","Ufa","FC Ufa","https://en.wikipedia.org/wiki/FC_Ufa","Ukraine","https://www.wikidata.org/wiki/Q19636859"
22,"3MF","Oleksandr Karavayev","(1992-06-02)2 June 1992 (aged 24)",3,0,"Zorya Luhansk","https://en.wikipedia.org/wiki/Oleksandr_Karavayev","Oleksandr Karavayev","Zorya Luhansk","FC Zorya Luhansk","https://en.wikipedia.org/wiki/FC_Zorya_Luhansk","Ukraine","https://www.wikidata.org/wiki/Q7086249"
23,"1GK","Mykyta Shevchenko","(1993-01-26)26 January 1993 (aged 23)",0,0,"Zorya Luhansk","https://en.wikipedia.org/wiki/Mykyta_Shevchenko","Mykyta Shevchenko","Zorya Luhansk","FC Zorya Luhansk","https://en.wikipedia.org/wiki/FC_Zorya_Luhansk","Ukraine","https://www.wikidata.org/wiki/Q6947610"
1,"1GK","Wojciech Szczęsny","(1990-04-18)18 April 1990 (aged 26)",26,0,"Roma","https://en.wikipedia.org/wiki/Wojciech_Szcz%C4%99sny","Wojciech Szczęsny","Roma","A.S. Roma","https://en.wikipedia.org/wiki/A.S._Roma","Poland","https://www.wikidata.org/wiki/Q188997"
2,"2DF","Michał Pazdan","(1987-09-21)21 September 1987 (aged 28)",17,0,"Legia Warsaw","https://en.wikipedia.org/wiki/Micha%C5%82_Pazdan","Michał Pazdan","Legia Warsaw","Legia Warsaw","https://en.wikipedia.org/wiki/Legia_Warsaw","Poland","https://www.wikidata.org/wiki/Q718231"
3,"2DF","Artur Jędrzejczyk","(1987-11-04)4 November 1987 (aged 28)",19,3,"Legia Warsaw","https://en.wikipedia.org/wiki/Artur_J%C4%99drzejczyk","Artur Jędrzejczyk","Legia Warsaw","Legia Warsaw","https://en.wikipedia.org/wiki/Legia_Warsaw","Poland","https://www.wikidata.org/wiki/Q2011808"
4,"2DF","Thiago Cionek","(1986-04-21)21 April 1986 (aged 30)",6,0,"Palermo","https://en.wikipedia.org/wiki/Thiago_Cionek","Thiago Cionek","Palermo","U.S. Città di Palermo","https://en.wikipedia.org/wiki/U.S._Citt%C3%A0_di_Palermo","Poland","https://www.wikidata.org/wiki/Q1493831"
5,"3MF","Krzysztof Mączyński","(1987-05-23)23 May 1987 (aged 29)",16,1,"Wisła Kraków","https://en.wikipedia.org/wiki/Krzysztof_M%C4%85czy%C5%84ski","Krzysztof Mączyński","Wisła Kraków","Wisła Kraków","https://en.wikipedia.org/wiki/Wis%C5%82a_Krak%C3%B3w","Poland","https://www.wikidata.org/wiki/Q3200056"
6,"3MF","Tomasz Jodłowiec","(1985-09-08)8 September 1985 (aged 30)",44,1,"Legia Warsaw","https://en.wikipedia.org/wiki/Tomasz_Jod%C5%82owiec","Tomasz Jodłowiec","Legia Warsaw","Legia Warsaw","https://en.wikipedia.org/wiki/Legia_Warsaw","Poland","https://www.wikidata.org/wiki/Q1373957"
7,"4FW","Arkadiusz Milik","(1994-02-28)28 February 1994 (aged 22)",26,10,"Ajax","https://en.wikipedia.org/wiki/Arkadiusz_Milik","Arkadiusz Milik","Ajax","AFC Ajax","https://en.wikipedia.org/wiki/AFC_Ajax","Poland","https://www.wikidata.org/wiki/Q137231"
8,"3MF","Karol Linetty","(1995-02-02)2 February 1995 (aged 21)",10,1,"Lech Poznań","https://en.wikipedia.org/wiki/Karol_Linetty","Karol Linetty","Lech Poznań","Lech Poznań","https://en.wikipedia.org/wiki/Lech_Pozna%C5%84","Poland","https://www.wikidata.org/wiki/Q6373051"
9,"4FW","Robert Lewandowski (captain)","(1988-08-21)21 August 1988 (aged 27)",76,34,"Bayern Munich","https://en.wikipedia.org/wiki/Robert_Lewandowski","Robert Lewandowski","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","Poland","https://www.wikidata.org/wiki/Q151269"
10,"3MF","Grzegorz Krychowiak","(1990-01-29)29 January 1990 (aged 26)",34,2,"Sevilla","https://en.wikipedia.org/wiki/Grzegorz_Krychowiak","Grzegorz Krychowiak","Sevilla","Sevilla FC","https://en.wikipedia.org/wiki/Sevilla_FC","Poland","https://www.wikidata.org/wiki/Q1354322"
11,"3MF","Kamil Grosicki","(1988-06-08)8 June 1988 (aged 28)",39,8,"Rennes","https://en.wikipedia.org/wiki/Kamil_Grosicki","Kamil Grosicki","Rennes","Stade Rennais F.C.","https://en.wikipedia.org/wiki/Stade_Rennais_F.C.","Poland","https://www.wikidata.org/wiki/Q319884"
12,"1GK","Artur Boruc","(1980-02-20)20 February 1980 (aged 36)",63,0,"AFC Bournemouth","https://en.wikipedia.org/wiki/Artur_Boruc","Artur Boruc","AFC Bournemouth","A.F.C. Bournemouth","https://en.wikipedia.org/wiki/A.F.C._Bournemouth","Poland","https://www.wikidata.org/wiki/Q207800"
13,"4FW","Mariusz Stępiński","(1995-05-12)12 May 1995 (aged 21)",3,0,"Ruch Chorzów","https://en.wikipedia.org/wiki/Mariusz_St%C4%99pi%C5%84ski","Mariusz Stępiński","Ruch Chorzów","Ruch Chorzów","https://en.wikipedia.org/wiki/Ruch_Chorz%C3%B3w","Poland","https://www.wikidata.org/wiki/Q1392512"
14,"2DF","Jakub Wawrzyniak","(1983-07-07)7 July 1983 (aged 32)",49,1,"Lechia Gdańsk","https://en.wikipedia.org/wiki/Jakub_Wawrzyniak","Jakub Wawrzyniak","Lechia Gdańsk","Lechia Gdańsk","https://en.wikipedia.org/wiki/Lechia_Gda%C5%84sk","Poland","https://www.wikidata.org/wiki/Q263738"
15,"2DF","Kamil Glik","(1988-02-03)3 February 1988 (aged 28)",41,3,"Torino","https://en.wikipedia.org/wiki/Kamil_Glik","Kamil Glik","Torino","Torino F.C.","https://en.wikipedia.org/wiki/Torino_F.C.","Poland","https://www.wikidata.org/wiki/Q63180"
16,"3MF","Jakub Błaszczykowski","(1985-12-14)14 December 1985 (aged 30)",79,16,"Fiorentina","https://en.wikipedia.org/wiki/Jakub_B%C5%82aszczykowski","Jakub Błaszczykowski","Fiorentina","ACF Fiorentina","https://en.wikipedia.org/wiki/ACF_Fiorentina","Poland","https://www.wikidata.org/wiki/Q151025"
17,"3MF","Sławomir Peszko","(1985-02-19)19 February 1985 (aged 31)",37,2,"Lechia Gdańsk","https://en.wikipedia.org/wiki/S%C5%82awomir_Peszko","Sławomir Peszko","Lechia Gdańsk","Lechia Gdańsk","https://en.wikipedia.org/wiki/Lechia_Gda%C5%84sk","Poland","https://www.wikidata.org/wiki/Q402320"
18,"2DF","Bartosz Salamon","(1991-05-01)1 May 1991 (aged 25)",8,0,"Cagliari","https://en.wikipedia.org/wiki/Bartosz_Salamon","Bartosz Salamon","Cagliari","Cagliari Calcio","https://en.wikipedia.org/wiki/Cagliari_Calcio","Poland","https://www.wikidata.org/wiki/Q2637408"
19,"3MF","Piotr Zieliński","(1994-05-20)20 May 1994 (aged 22)",15,3,"Empoli","https://en.wikipedia.org/wiki/Piotr_Zieli%C5%84ski","Piotr Zieliński","Empoli","Empoli F.C.","https://en.wikipedia.org/wiki/Empoli_F.C.","Poland","https://www.wikidata.org/wiki/Q7197034"
20,"2DF","Łukasz Piszczek","(1985-06-03)3 June 1985 (aged 31)",46,2,"Borussia Dortmund","https://en.wikipedia.org/wiki/%C5%81ukasz_Piszczek","Łukasz Piszczek","Borussia Dortmund","Borussia Dortmund","https://en.wikipedia.org/wiki/Borussia_Dortmund","Poland","https://www.wikidata.org/wiki/Q153266"
21,"3MF","Bartosz Kapustka","(1996-12-23)23 December 1996 (aged 19)",7,2,"Cracovia","https://en.wikipedia.org/wiki/Bartosz_Kapustka","Bartosz Kapustka","Cracovia","KS Cracovia (football)","https://en.wikipedia.org/wiki/KS_Cracovia_(football)","Poland","https://www.wikidata.org/wiki/Q17386152"
